,PERMNO
0,10000
1,10001
2,10002
3,10003
4,10005
5,10006
6,10007
7,10008
8,10009
9,10010
10,10011
11,10012
12,10013
13,10014
14,10015
15,10016
16,10017
17,10018
18,10019
19,10020
20,10021
21,10024
22,10025
23,10026
24,10027
25,10028
26,10029
27,10031
28,10032
29,10035
30,10036
31,10037
32,10038
33,10039
34,10040
35,10041
36,10042
37,10043
38,10044
39,10045
40,10046
41,10047
42,10048
43,10051
44,10052
45,10055
46,10056
47,10057
48,10058
49,10059
50,10060
51,10062
52,10063
53,10064
54,10065
55,10066
56,10068
57,10070
58,10071
59,10072
60,10074
61,10075
62,10076
63,10077
64,10078
65,10079
66,10080
67,10082
68,10083
69,10084
70,10085
71,10086
72,10087
73,10088
74,10089
75,10090
76,10091
77,10092
78,10093
79,10094
80,10095
81,10097
82,10098
83,10099
84,10100
85,10101
86,10102
87,10103
88,10104
89,10105
90,10106
91,10107
92,10108
93,10112
94,10114
95,10116
96,10117
97,10119
98,10120
99,10122
100,10123
101,10124
102,10125
103,10126
104,10127
105,10128
106,10130
107,10133
108,10134
109,10136
110,10137
111,10138
112,10140
113,10141
114,10142
115,10143
116,10144
117,10145
118,10146
119,10147
120,10148
121,10149
122,10150
123,10152
124,10153
125,10154
126,10155
127,10157
128,10158
129,10159
130,10160
131,10161
132,10163
133,10164
134,10166
135,10168
136,10169
137,10170
138,10173
139,10175
140,10176
141,10177
142,10178
143,10179
144,10180
145,10181
146,10182
147,10184
148,10185
149,10186
150,10187
151,10188
152,10189
153,10190
154,10191
155,10192
156,10193
157,10194
158,10195
159,10198
160,10199
161,10200
162,10201
163,10202
164,10203
165,10204
166,10205
167,10206
168,10207
169,10208
170,10211
171,10212
172,10213
173,10214
174,10215
175,10216
176,10217
177,10218
178,10219
179,10220
180,10221
181,10222
182,10223
183,10224
184,10225
185,10227
186,10228
187,10229
188,10230
189,10231
190,10232
191,10233
192,10234
193,10235
194,10236
195,10237
196,10238
197,10239
198,10241
199,10242
200,10243
201,10244
202,10245
203,10246
204,10247
205,10248
206,10249
207,10250
208,10252
209,10253
210,10254
211,10255
212,10256
213,10257
214,10258
215,10259
216,10260
217,10261
218,10262
219,10264
220,10266
221,10268
222,10269
223,10270
224,10271
225,10272
226,10274
227,10275
228,10278
229,10279
230,10280
231,10281
232,10282
233,10283
234,10285
235,10286
236,10287
237,10288
238,10289
239,10290
240,10291
241,10293
242,10294
243,10295
244,10296
245,10297
246,10298
247,10299
248,10300
249,10301
250,10302
251,10303
252,10304
253,10307
254,10308
255,10309
256,10310
257,10311
258,10314
259,10315
260,10316
261,10317
262,10318
263,10319
264,10320
265,10321
266,10323
267,10324
268,10325
269,10326
270,10328
271,10329
272,10330
273,10332
274,10333
275,10334
276,10336
277,10337
278,10339
279,10341
280,10342
281,10343
282,10344
283,10345
284,10346
285,10347
286,10350
287,10351
288,10352
289,10353
290,10354
291,10355
292,10358
293,10359
294,10360
295,10361
296,10362
297,10363
298,10364
299,10365
300,10366
301,10370
302,10371
303,10372
304,10373
305,10374
306,10375
307,10376
308,10377
309,10378
310,10379
311,10381
312,10382
313,10383
314,10384
315,10385
316,10386
317,10387
318,10388
319,10389
320,10390
321,10392
322,10393
323,10394
324,10395
325,10396
326,10397
327,10398
328,10400
329,10401
330,10402
331,10403
332,10404
333,10405
334,10406
335,10407
336,10409
337,10410
338,10411
339,10412
340,10413
341,10414
342,10415
343,10416
344,10417
345,10418
346,10419
347,10420
348,10421
349,10422
350,10423
351,10424
352,10425
353,10426
354,10427
355,10429
356,10430
357,10432
358,10433
359,10434
360,10438
361,10439
362,10441
363,10442
364,10443
365,10446
366,10448
367,10449
368,10450
369,10451
370,10453
371,10454
372,10455
373,10456
374,10457
375,10458
376,10459
377,10460
378,10461
379,10462
380,10463
381,10467
382,10468
383,10469
384,10470
385,10471
386,10472
387,10473
388,10474
389,10476
390,10477
391,10479
392,10480
393,10482
394,10484
395,10487
396,10488
397,10490
398,10491
399,10493
400,10494
401,10495
402,10496
403,10497
404,10499
405,10500
406,10501
407,10502
408,10504
409,10505
410,10506
411,10507
412,10511
413,10512
414,10513
415,10514
416,10515
417,10516
418,10517
419,10518
420,10519
421,10520
422,10521
423,10522
424,10523
425,10527
426,10528
427,10530
428,10531
429,10535
430,10536
431,10537
432,10538
433,10539
434,10543
435,10544
436,10545
437,10547
438,10548
439,10549
440,10550
441,10551
442,10554
443,10555
444,10556
445,10557
446,10558
447,10559
448,10560
449,10561
450,10562
451,10563
452,10564
453,10566
454,10568
455,10569
456,10570
457,10571
458,10572
459,10573
460,10574
461,10577
462,10578
463,10579
464,10580
465,10581
466,10582
467,10584
468,10585
469,10586
470,10587
471,10588
472,10589
473,10590
474,10592
475,10593
476,10594
477,10595
478,10596
479,10597
480,10598
481,10599
482,10600
483,10601
484,10602
485,10603
486,10604
487,10605
488,10606
489,10608
490,10610
491,10611
492,10614
493,10615
494,10618
495,10619
496,10620
497,10621
498,10622
499,10623
500,10624
501,10625
502,10626
503,10627
504,10628
505,10629
506,10630
507,10631
508,10632
509,10633
510,10634
511,10635
512,10636
513,10637
514,10638
515,10640
516,10641
517,10643
518,10644
519,10645
520,10646
521,10649
522,10650
523,10651
524,10652
525,10654
526,10656
527,10657
528,10658
529,10659
530,10660
531,10661
532,10662
533,10664
534,10666
535,10667
536,10668
537,10669
538,10670
539,10672
540,10674
541,10675
542,10676
543,10677
544,10678
